week,vendor,snap_total,dufb_total,wdfm_total,reported_sales
2_22_2025,Broken Grain Baking Co.,10,0,0,1500.0
2_22_2025,Bud's Lemonade,0,0,0,208.0
2_22_2025,Cha Community,0,0,0,850.0
2_22_2025,Chapultepec Farm,0,0,0,577.0
2_22_2025,Chef Flaco's Salsa,11,0,0,900.0
2_22_2025,Clay by Denae,0,0,0,592.0
2_22_2025,Designs with Jamie,0,0,0,497.0
2_22_2025,Don't Eat Beads,0,0,0,498.0
2_22_2025,Dresden Specialty Meats,140,0,0,800.0
2_22_2025,Fruits of Life,0,0,0,566.0
2_22_2025,Ganske Farms,40,0,5,1175.0
2_22_2025,Handmade Waco,0,0,0,307.0
2_22_2025,Hay Ewe Ranch LLC,0,8,0,91.0
2_22_2025,Heritage Coffee,0,0,0,845.0
2_22_2025,Heritage Food Crafters,0,0,0,1200.0
2_22_2025,Hutto Soap & Candle Co,0,0,20,549.0
2_22_2025,Iron Bridge Coffee,0,0,0,387.0
2_22_2025,Katharos Baking Co,0,0,0,850.0
2_22_2025,Kurbside Coffee,0,0,0,654.0
2_22_2025,Le's Kitchen,0,0,0,562.0
2_22_2025,Luna Clean Food Cafe,0,0,0,560.0
2_22_2025,Mike's Makes,0,0,15,730.0
2_22_2025,The Moody Goat,10,0,0,180.0
2_22_2025,Muchos Tacos,0,0,15,2700.0
2_22_2025,No Label Mushrooms,12,26,0,1450.0
2_22_2025,Ohana Freeze Dried Market,0,0,0,936.0
2_22_2025,Pink Cheeks Studio,0,0,0,486.0
2_22_2025,Quesadilla Factory,0,0,0,1060.0
2_22_2025,Rancho Martinez Kitchen,0,0,0,677.0
2_22_2025,Remedy Design Shop,0,0,0,960.0
2_22_2025,Rocky Gutter Homestead,15,0,30,790.0
2_22_2025,Round Rock Honey,0,0,0,300.0
2_22_2025,Shar's Plants & Jewelry,0,0,0,254.0
2_22_2025,Southern Sisters Soaps,0,0,0,840.0
2_22_2025,Sweet & Sourdough,24,0,0,295.0
2_22_2025,Teresita's Birria,0,0,0,309.0
2_22_2025,TLC Farms,0,0,0,700.0
2_22_2025,Tres Manos Coffee,0,0,0,529.0
2_22_2025,Valley Mills Vineyards,0,0,0,272.0
2_22_2025,Violette Bakery,0,0,0,575.0
2_22_2025,World Hunger Relief,0,34,0,428.0
2_22_2025,Yallatizers,8,0,0,1700.0
2_22_2025,Yield Here Farms,0,0,0,284.0
2_8_2025,Alba's Pupusas,0,0,282,520.0
2_8_2025,Alili Bold Accessories,0,0,0,280.0
2_8_2025,ATX Jerky,30,0,0,1809.0
2_8_2025,Audrey's Pawstries,0,0,0,415.0
2_8_2025,Bonnet Farm,4,31,11,750.0
2_8_2025,Bud's Lemonade,0,0,10,996.0
2_8_2025,Brazos Valley Cheese,0,0,0,2850.0
2_8_2025,Broken Grain Baking Co.,55,0,0,3100.0
2_8_2025,C323 Woodworking,0,0,0,500.0
2_8_2025,Cha Community,0,0,0,1500.0
2_8_2025,Chapultepec Farm,0,0,0,786.0
2_8_2025,Chef Flaco's Salsa,18,0,0,1300.0
2_8_2025,Clay by Denae,0,0,0,573.0
2_8_2025,Copperhead Creek Jewelry,0,0,0,390.0
2_8_2025,Designs with Jamie,0,0,0,836.0
2_8_2025,Don't Eat Beads,0,0,0,560.0
2_8_2025,Dresden Specialty Meats,0,0,20,1000.0
2_8_2025,Elisa Morse,0,0,0,865.0
2_8_2025,Flora House,0,0,0,780.0
2_8_2025,Fruits of Life,0,0,0,719.0
2_8_2025,For Keeps Coffee,0,0,0,517.0
2_8_2025,Handmade Waco,0,0,0,371.0
2_8_2025,Hay Ewe Ranch LLC,11,22,0,122.0
2_8_2025,Heritage Coffee,0,0,0,1237.0
2_8_2025,Heritage Food Crafters,30,0,0,1200.0
2_8_2025,Hutto Soap & Candle Co,0,0,0,644.0
2_8_2025,Kurbside Coffee,0,0,0,858.0
2_8_2025,Le's Kitchen,0,0,20,1300.0
2_8_2025,Little Threads by Emily,0,0,0,575.0
2_8_2025,Luna Clean Food Cafe,0,0,0,1080.0
2_8_2025,Macabre Maven,0,0,0,295.0
2_8_2025,Mama D's Pickles and Jams,0,0,252,450.0
2_8_2025,Mike's Makes,6,0,0,915.0
2_8_2025,The Moody Goat,0,0,0,250.0
2_8_2025,Muchos Tacos,0,0,0,4051.0
2_8_2025,the New Plate,0,0,0,300.0
2_8_2025,No Label Mushrooms,0,15,0,1450.0
2_8_2025,Norma's Florals,0,0,0,673.0
2_8_2025,Ohana Freeze Dried Market,0,0,0,1375.0
2_8_2025,Passion Gardens,0,0,0,230.0
2_8_2025,Pink Cheeks Studio,0,0,0,825.0
2_8_2025,Quesadilla Factory,0,0,0,1907.0
2_8_2025,Rancho Martinez Kitchen,0,0,0,735.0
2_8_2025,Remedy Design Shop,0,0,0,1600.0
2_8_2025,Rocky Gutter Homestead,0,0,20,1235.0
2_8_2025,Round Rock Honey,0,0,0,600.0
2_8_2025,Shar's Plants & Jewelry,0,0,0,244.0
2_8_2025,Sison Tacos,0,0,0,1000.0
2_8_2025,Sojo Leather Co,0,0,0,217.0
2_8_2025,Southern Sisters Soaps,0,0,0,847.0
2_8_2025,Symphony Candle Co.,0,0,0,550.0
2_8_2025,TLC Farms,0,0,0,750.0
2_8_2025,Tres Manos Coffee,0,0,0,612.0
2_8_2025,Valley Mills Vineyards,0,0,0,872.0
2_8_2025,Violette Bakery,0,0,0,800.0
2_8_2025,World Hunger Relief,0,6,0,735.0
2_8_2025,Yallatizers,16,0,10,2300.0
2_8_2025,Yield Here Farms,0,8,58,228.0
2_8_2025,Zandartistry,0,0,0,1090.0
