week,vendor,snap_total,dufb_total,wdfm_total,reported_sales
1_25_2025,Passion Gardens,0,0,0,150
1_25_2025,Quesadilla Factory,0,0,0,1175
1_25_2025,Rancho Martinez Kitchen,0,0,0,482
1_25_2025,Remedy Design Shop,0,0,0,420
1_25_2025,Rocky Gutter Homestead,7,0,30,1175
1_25_2025,Round Rock Honey,35,0,0,380
1_25_2025,Shar's Plants & Jewelry,0,0,0,269
1_25_2025,Southern Sisters Soaps,0,0,0,0
1_25_2025,Teresita's Birria,0,0,0,307
1_25_2025,TLC Farms,0,0,0,600
1_25_2025,Tres Manos Coffee,0,0,0,501
1_25_2025,Valley Mills Vineyards,0,0,0,220
1_25_2025,Violette Bakery,0,0,0,495
1_25_2025,VJ Farms,0,0,0,260
1_25_2025,World Hunger Relief,0,75,0,667
1_25_2025,Yallatizers,0,0,0,1800
1_25_2025,Yield Here Farms,0,0,0,236
1_4_2025,Alba's Pupusas,0,0,176,376
1_4_2025,ATX Jerky,0,0,0,1111
1_4_2025,Audrey's Pawstries,0,0,0,300
1_4_2025,Bonnet Farm,38,30,0,650
1_4_2025,Brazos Valley Cheese,0,0,0,1700
1_4_2025,Cha Community,0,0,0,777
1_4_2025,Chapultepec Farm,15,0,0,839
1_4_2025,Chef Flaco's Salsa,0,0,0,900
1_4_2025,Churros la Catrina,0,0,0,995
1_4_2025,Don't Eat Beads,0,0,0,313
1_4_2025,Dresden Specialty Meats,0,0,55,1500
1_4_2025,Flora House,0,0,0,370
1_4_2025,Fruits of Life,0,0,0,377
1_4_2025,Hanhart Homestead,15,0,0,277
1_4_2025,Hay Ewe Ranch LLC,0,0,10,114
1_4_2025,Heritage Coffee,0,0,0,673
1_4_2025,Heritage Food Crafters,0,0,0,557
1_4_2025,Home Fries Cafe,0,0,0,0
1_4_2025,Hutto Soap & Candle Co,0,0,0,446
1_4_2025,Katharos Baking Co,5,0,0,700
1_4_2025,Kurbside Coffee,0,0,0,485
1_4_2025,Le's Kitchen,0,0,0,483
1_4_2025,Luna Clean Food Cafe,0,0,0,280
1_4_2025,Mike's Makes,0,0,0,360
1_4_2025,Muchos Tacos,0,0,0,1200
1_4_2025,No Label Mushrooms,15,74,0,865
1_4_2025,Ohana Freeze Dried Market,6,0,0,972
1_4_2025,Passion Gardens,0,0,0,250
1_4_2025,Quesadilla Factory,0,0,0,1105
1_4_2025,Remedy Design Shop,0,0,0,530
1_4_2025,Rocky Gutter Homestead,20,0,22,1025
1_4_2025,Round Rock Honey,0,0,0,400
1_4_2025,Shar's Plants & Jewelry,0,0,0,200
1_4_2025,TLC Farms,0,0,0,750
1_4_2025,Tres Manos Coffee,0,0,6,417
1_4_2025,Valley Mills Vineyards,0,0,0,254
1_4_2025,Violette Bakery,54,0,3,610
1_4_2025,VJ Farms,0,0,0,405
1_4_2025,World Hunger Relief,0,0,10,817
1_4_2025,Yallatizers,33,0,0,1700
1_4_2025,Yield Here Farms,0,33,0,262
02_15_2025,Alba's Pupusas,0,0,100,200
